work_year,country_name,job_title,experience_level,salary,remote_ratio
2022,United States,Data Architect,Senior Level,195585.5,100.0
2022,United States,Data Engineer,Entry Level,92500.0,100.0
2022,United States,Data Engineer,Executive Level,245500.0,100.0
2022,United States,Data Engineer,Mid Level,128766.5,33.333333333333336
2022,United States,Data Engineer,Senior Level,143591.71153846153,80.76923076923077
2022,United States,Data Science Manager,Mid Level,200000.0,100.0
2022,United States,Data Science Manager,Senior Level,150327.66666666666,100.0
2022,United States,Data Scientist,Mid Level,121309.09090909091,63.63636363636363
2022,United States,Data Scientist,Senior Level,161970.83333333334,75.0
2022,United States,Financial Data Analyst,Entry Level,100000.0,50.0
2022,United States,Head of Data,Senior Level,200000.0,100.0
2022,United States,Head of Data Science,Executive Level,195937.5,100.0
2022,United States,Machine Learning Engineer,Mid Level,120000.0,100.0
2022,United States,Machine Learning Engineer,Senior Level,181986.5,50.0
2022,United States,Machine Learning Scientist,Mid Level,141766.66666666666,83.33333333333333
2022,United States,NLP Engineer,Mid Level,37236.0,50.0
2022,United States,Research Scientist,Entry Level,120000.0,100.0
2022,United States,Research Scientist,Senior Level,144000.0,50.0
